label,layer,neuron,f1,precision,recall,mean_dif
Swedish,16,12241,1.0,1.0,1.0,3.639234
German,26,8003,1.0,1.0,1.0,1.0176816
German,18,12780,1.0,1.0,1.0,3.216563
French,26,3812,1.0,1.0,1.0,4.4175854
French,16,16361,1.0,1.0,1.0,2.7804475
Dutch,19,12543,1.0,1.0,1.0,1.1366153
Italian,16,111,1.0,1.0,1.0,1.3180085
Italian,13,3853,1.0,1.0,1.0,1.3427511
Italian,16,16191,1.0,1.0,1.0,1.4602549
Italian,23,13424,1.0,1.0,1.0,2.3590775
Italian,21,13313,1.0,1.0,1.0,2.6137054
French,22,4948,1.0,1.0,1.0,0.94200957
English,31,3948,1.0,1.0,1.0,-3.7117329
English,19,9826,1.0,1.0,1.0,-3.0330887
Italian,18,16192,1.0,1.0,1.0,2.982603
Portuguese,21,11238,1.0,1.0,1.0,1.2459835
Portuguese,18,9603,1.0,1.0,1.0,1.4571648
Portuguese,22,11814,1.0,1.0,1.0,1.4615225
Portuguese,23,13405,1.0,1.0,1.0,1.5604808
Portuguese,14,5266,1.0,1.0,1.0,1.6387736
English,31,12865,1.0,1.0,1.0,-1.8407129
Portuguese,16,11414,1.0,1.0,1.0,2.9247777
Dutch,16,6065,1.0,1.0,1.0,3.3891866
Portuguese,19,15045,1.0,1.0,1.0,3.2864912
Dutch,18,16080,1.0,1.0,1.0,2.4063697
Swedish,11,9372,1.0,1.0,1.0,1.0774914
Spanish,24,14231,1.0,1.0,1.0,1.739177
Spanish,23,10543,1.0,1.0,1.0,1.8427024
Dutch,16,15850,1.0,1.0,1.0,1.5693024
Spanish,18,1737,1.0,1.0,1.0,3.0681603
German,19,13261,1.0,1.0,1.0,1.5635478
Italian,22,2731,0.9998415465061004,0.9996831432192649,1.0,1.941437
Swedish,23,6275,0.9998385273696109,1.0,0.9996771068776235,1.0277495
English,29,13209,0.9998381615148082,1.0,0.9996763754045307,2.480838
German,31,7317,0.999831451205124,1.0,0.9996629592180654,0.96276367
Spanish,16,2164,0.9995162070633768,1.0,0.9990328820116054,1.3032329
German,22,14905,0.9991572560256194,0.9993256911665542,0.9989888776541962,0.9165697
Spanish,21,3070,0.9988729673160521,0.997748472177549,1.0,3.036507
French,17,5155,0.9982436532013412,0.9964934650940389,1.0,2.535397
Swedish,18,3970,0.9980657640232109,0.9964596073382684,0.9996771068776235,1.3069674
French,21,10838,0.9974457215836526,0.9955385595920969,0.999360204734485,1.0508574
English,31,8873,0.9974176888315043,0.9948486799742434,1.0,-1.9304327
Swedish,22,5808,0.9969418960244648,0.9939024390243902,1.0,1.6800368
Swedish,18,6270,0.9953398682307568,0.990722968650032,1.0,1.957652
English,31,1494,0.995164410058027,0.9913294797687862,0.9990291262135922,2.34871
English,31,6067,0.9905403238736572,0.9815697489672705,0.9996763754045307,2.2820804
English,31,13914,0.9898534385569335,0.9852516832318051,0.9944983818770227,1.6887548
German,31,1080,0.9788778877887787,0.9589395408988037,0.9996629592180654,-1.2381477
German,31,10343,0.9606605148130161,0.9242990654205607,1.0,-0.92929983
Dutch,31,15211,0.946793997271487,0.9026011560693642,0.9955371373924131,-1.9951168
English,31,16287,0.9363057324840764,0.8809931506849316,0.9990291262135922,-1.9810959
Italian,22,16201,0.9203384884738839,0.8526628818599622,0.9996830427892235,2.1113355
German,11,10739,0.9097041238693854,0.8343644544431946,1.0,1.2430955
Dutch,31,7002,0.8020708880923935,0.6872156505914467,0.9630219955371374,-1.1875057
Portuguese,18,2736,0.7978666666666667,0.6815489749430524,0.9620578778135048,1.293981
French,31,10324,0.6811370647862494,0.5194957983193277,0.9888035828534869,1.1277232
Dutch,21,4901,0.6787878787878787,0.513845649680485,0.999681224099458,3.0334134
Spanish,21,14847,0.6696930393428447,0.503739837398374,0.9987105093488072,1.6906435
French,31,16287,0.6693073546729471,0.5029766693483507,1.0,-1.7514572
Dutch,17,3284,0.6691576812213089,0.5030497592295345,0.9990436722983742,1.7580564
Dutch,21,14847,0.6673787652211066,0.5018473895582329,0.9958559132929551,1.6725546
Swedish,31,11470,0.6666666666666667,0.5002425222312046,0.9990313206328705,-1.0646466
Portuguese,17,8992,0.6657177269243403,0.5047318611987381,0.977491961414791,1.5019358
Spanish,22,14735,0.6655917445985166,0.49927431059506533,0.9980657640232108,1.2139869
Swedish,17,3284,0.664306404892179,0.4974293059125964,0.9996771068776235,1.764538
English,31,15211,0.6630178149817557,0.4959858702633269,0.9996763754045307,-1.8730152
Portuguese,22,16201,0.662467976088813,0.495845317992969,0.9977491961414791,1.7643055
German,21,4901,0.654244762954796,0.486154350319515,1.0,3.010436
Italian,19,9599,0.5894008785867838,0.41794803817603393,0.9993660855784469,1.4182779
Spanish,19,9599,0.5682969512756746,0.3978078658929723,0.9945196647324307,1.4124346
