label,layer,neuron,f1,precision,recall,mean_dif
uspto,12,4808,0.9832775919732442,0.9922854387656702,0.9744318181818182,1.9687274
arxiv,19,4877,0.9832758162994426,0.9946294307196563,0.9721784776902888,1.0561824
freelaw,23,1003,0.896551724137931,0.8625592417061612,0.9333333333333333,1.1669757
arxiv,23,2024,0.8549428713363139,0.8114097123998114,0.9034120734908136,1.4301828
arxiv,16,6164,0.7308533916849015,0.9034003091190108,0.6136482939632546,0.80329686
arxiv,22,868,0.6675006254691018,0.6376673040152964,0.700262467191601,0.80784357
github,23,5158,0.638270409809616,0.48695224027572626,0.9260299625468165,-1.8898872
uspto,23,3535,0.630558341691742,0.4873385012919897,0.8929924242424242,-1.4944394
uspto,23,1529,0.5993650793650793,0.45081184336198665,0.8939393939393939,1.1276493
github,23,165,0.591496062992126,0.44565733270052205,0.8792134831460674,-1.8488073
wikipedia,23,5761,0.5881235154394299,0.4501818181818182,0.8479452054794521,0.87262017
freelaw,23,3258,0.5716107097322568,0.42752701843610935,0.8621794871794872,-3.556447
freelaw,13,7337,0.5532870559412005,0.4059316956261234,0.8685897435897436,-1.0024939
freelaw,18,322,0.537787736809941,0.3941475067184234,0.8461538461538461,-1.1610745
uspto,23,5336,0.5360886492961965,0.39202803328953134,0.8475378787878788,-0.96945834
hackernews,6,5030,0.5325869652139144,0.36897506925207757,0.9568965517241379,0.94082725
stack_exchange,23,2642,0.5313301575668743,0.3897849462365591,0.8342922899884925,1.1700718
arxiv,19,7107,0.5214659685863874,0.4337979094076655,0.6535433070866141,0.7755456
freelaw,12,6474,0.5133928571428571,0.36163522012578614,0.8846153846153846,-1.3819927
stack_exchange,23,632,0.5129896907216495,0.39974293059125965,0.715765247410817,1.2808189
freelaw,15,6766,0.5019622500467203,0.3542600896860987,0.860897435897436,-1.8571209
freelaw,12,2518,0.49042975803539185,0.3413775766716943,0.8705128205128205,-0.9975477
arxiv,18,322,0.4900150311359244,0.41460755813953487,0.5989501312335958,0.8982718
freelaw,23,6368,0.48054083683537363,0.3360592895476616,0.842948717948718,-2.3132834
uspto,23,4297,0.47865050079072213,0.3316289262235208,0.8598484848484849,-1.0953872
arxiv,23,3258,0.4757947226262207,0.3937414030261348,0.6010498687664042,2.215013
github,19,2242,0.47425980261403045,0.33159268929503916,0.8323970037453183,-1.5303
arxiv,23,6368,0.4583243592504846,0.38860482103725347,0.5585301837270341,1.6529746
arxiv,23,7385,0.43559451219512196,0.34190846545019443,0.6,-0.7481048
uspto,18,5851,0.4320845782578718,0.2852807283763278,0.8901515151515151,0.98597956
github,12,6474,0.4296344225169848,0.3282254078101829,0.6217228464419475,1.9709496
github,12,2518,0.4295426452410383,0.3205719557195572,0.650749063670412,1.3948971
arxiv,15,6766,0.42063839090511584,0.3604346197077557,0.50498687664042,1.0308368
github,15,6766,0.4128955930198166,0.3017725897103329,0.653558052434457,2.2494397
freelaw,23,7385,0.40412073016446776,0.2813994462622703,0.7166666666666667,0.99408627
uspto,19,2242,0.3959158157949573,0.25380710659898476,0.8996212121212122,1.0830848
freelaw,23,282,0.39488445142472517,0.30376251294442524,0.5641025641025641,-0.9984598
stack_exchange,23,7385,0.39021615472127413,0.2591613146958821,0.7894131185270425,-1.739178
github,23,6368,0.38855848201642595,0.2785221274868047,0.6423220973782772,2.5646596
stack_exchange,23,4297,0.37600716204118173,0.25382755842062854,0.7249712313003452,1.0586962
uspto,23,7385,0.36668175645088275,0.2409280190362879,0.7670454545454546,1.4206061
uspto,23,282,0.35890619065704515,0.22446555819477435,0.8948863636363636,1.4611902
github,23,3258,0.34484576852095966,0.24,0.6123595505617978,2.3195853
stack_exchange,13,7337,0.3442676193569341,0.2398190045248869,0.6098964326812428,1.0298251
hackernews,18,5851,0.34214037896984256,0.2100950508030154,0.9209770114942529,1.0092549
wikipedia,23,2133,0.33748443337484435,0.21837228041901693,0.7424657534246575,0.73385394
stack_exchange,12,6474,0.3368560105680317,0.23622047244094488,0.5868814729574223,1.3486146
