label,layer,neuron,f1,precision,recall,mean_dif
freelaw,22,5842,0.46895161290322573,0.34205882352941175,0.7455128205128205,-0.7740849
hackernews,31,9226,0.4655300222386954,0.31368631368631367,0.9022988505747126,-0.67621565
hackernews,31,6616,0.4646840148698885,0.31344032096288865,0.8979885057471264,-0.6745055
freelaw,20,2267,0.4612222014576714,0.3255077815879715,0.791025641025641,-0.82042027
github,13,575,0.4527220630372493,0.3429811866859624,0.6657303370786517,0.98914224
github,31,3135,0.44910941475826976,0.3400770712909441,0.6610486891385767,-1.0168436
github,31,4730,0.4490038655961938,0.3289760348583878,0.7069288389513109,1.0477859
uspto,22,5842,0.4473049074818987,0.31200897867564537,0.7897727272727273,1.0812421
github,31,487,0.43312101910828027,0.3134953897736798,0.700374531835206,1.0949838
github,31,1819,0.4314977387603086,0.3013749535488666,0.7593632958801498,0.9507284
stack_exchange,31,825,0.4235041203869581,0.30749219562955254,0.6800920598388953,1.0148002
wikipedia,31,2317,0.413946587537092,0.28382502543234994,0.7643835616438356,0.672513
stack_exchange,31,6069,0.394616090547568,0.26875,0.7422324510932106,1.0184426
stack_exchange,31,5995,0.3917824074074074,0.2616930807885582,0.7790563866513234,1.0124216
stack_exchange,31,9489,0.3906011595971926,0.26578073089701,0.7364787111622555,-0.83826876
stack_exchange,31,5384,0.38910505836575876,0.2708803611738149,0.6904487917146145,-0.8747903
stack_exchange,31,4730,0.38859621939882244,0.26590330788804073,0.7215189873417721,0.82771724
hackernews,30,3449,0.38738170347003154,0.24818108326596605,0.882183908045977,0.96790886
stack_exchange,31,487,0.38338850436352695,0.2595762021189894,0.7330264672036824,0.9196262
stack_exchange,31,1511,0.37030247479376716,0.25207986688851913,0.6973532796317606,1.768815
wikipedia,30,7593,0.3657902340364057,0.23178322958623215,0.8671232876712329,-0.80350804
stack_exchange,31,5264,0.3523529411764706,0.23666534966416436,0.6892980437284235,0.89299524
stack_exchange,31,9646,0.3435114503816794,0.23058730784391013,0.6731875719217492,1.0755206
wikipedia,31,420,0.3433476394849785,0.22618529795563289,0.7123287671232876,0.68569314
hackernews,31,7016,0.33662851196670135,0.20552731893265566,0.9295977011494253,0.8251705
wikipedia,31,3692,0.32889344262295084,0.20226843100189035,0.8794520547945206,-0.62860644
hackernews,31,5516,0.31067021533994676,0.18679080593540878,0.9224137931034483,0.62436306
wikipedia,20,2267,0.2801932367149758,0.16837157865634503,0.8342465753424657,-0.7845284
wikipedia,30,1868,0.27762172284644193,0.16741953698475437,0.8123287671232877,-1.1541953
hackernews,31,9646,0.27135678391959805,0.1683991683991684,0.6982758620689655,0.65938294
enron,20,2267,0.2661596958174905,0.15824085491163173,0.8369565217391305,-1.2338551
hackernews,21,3868,0.26046511627906976,0.1539670070699136,0.8448275862068966,0.78873515
enron,21,3868,0.25442477876106195,0.15319715808170514,0.75,-1.2672707
enron,30,8840,0.25431989366415597,0.15971062882582082,0.6239130434782608,-1.1592748
wikipedia,31,487,0.2531645569620253,0.1491807287845439,0.8356164383561644,-0.6411188
wikipedia,31,1511,0.25146198830409355,0.15043057050592035,0.7657534246575343,-0.93465114
wikipedia,18,7165,0.24840370751802268,0.1461818181818182,0.826027397260274,-0.648141
hackernews,30,1868,0.24123879380603094,0.14055080721747387,0.8505747126436781,-0.7226672
hackernews,30,8840,0.23748668796592115,0.13547995139732685,0.9612068965517241,0.60495186
enron,22,5842,0.2224346717654557,0.13032113517550412,0.758695652173913,-1.0018353
enron,31,5251,0.2167300380228137,0.1386861313868613,0.4956521739130435,1.2557374
enron,30,3449,0.2116671979598342,0.12401942472917445,0.7217391304347827,-0.8203129
enron,18,7165,0.20729772607086197,0.11800120409391933,0.8521739130434782,-0.8803579
enron,31,5264,0.20200235571260305,0.11682561307901908,0.7456521739130435,-0.77618825
enron,30,1868,0.19970972423802613,0.1152428810720268,0.7478260869565218,-1.4502492
enron,31,1511,0.19208715596330278,0.1106340819022457,0.7282608695652174,-1.365881
