label,layer,neuron,f1,precision,recall,mean_dif
uspto,6,2799,0.9817658349328215,0.995136186770428,0.96875,1.0614011
freelaw,9,817,0.976699648898819,0.9726636999364272,0.9807692307692307,0.69214153
arxiv,9,2442,0.884712482468443,0.95,0.8278215223097113,0.76228344
freelaw,11,238,0.8449197860962567,0.7531359759157049,0.9621794871794872,0.7805952
arxiv,11,2489,0.8280435812411179,0.7544238239102288,0.9175853018372704,-1.7752469
arxiv,11,1997,0.7906302825404492,0.7321109123434705,0.8593175853018372,0.81661654
arxiv,11,2373,0.7746282527881042,0.6948728636932056,0.8750656167979003,0.5663202
arxiv,11,2055,0.7679788871783594,0.6608629825889477,0.9165354330708662,0.6304783
freelaw,11,224,0.7595656670113754,0.6364818024263431,0.9416666666666667,0.8415496
github,11,980,0.6809523809523809,0.5347222222222222,0.9372659176029963,-1.4650068
github,11,863,0.6182370820668693,0.4576957695769577,0.952247191011236,-1.0898011
github,11,1913,0.6108626198083067,0.463627546071775,0.8951310861423221,-1.6710234
github,11,478,0.6084142394822006,0.4648862512363996,0.8801498127340824,-1.7859671
freelaw,11,1888,0.5670886075949367,0.4072727272727273,0.9333333333333333,-0.79456824
github,11,1861,0.5540740740740742,0.40528825314260947,0.8754681647940075,-1.0482731
arxiv,7,2892,0.5450804339693228,0.42342342342342343,0.7648293963254593,0.6562042
hackernews,10,573,0.5402489626556016,0.3798133022170362,0.9353448275862069,-0.8834004
github,8,382,0.5400630914826499,0.4072312083729781,0.8014981273408239,1.1391013
hackernews,9,2897,0.5355054302422725,0.37750294464075385,0.9209770114942529,-1.7159247
freelaw,7,2892,0.535091640590076,0.4107755662319835,0.7673076923076924,-0.89285016
github,9,1683,0.5264817150063051,0.3968631178707224,0.7818352059925093,1.2720257
freelaw,8,382,0.5262958040630339,0.37388724035608306,0.8884615384615384,-0.66102433
github,11,2135,0.5255164034021871,0.38893884892086333,0.8099250936329588,-1.2257667
arxiv,11,439,0.5254071022169904,0.41948621553884713,0.7028871391076116,0.937768
hackernews,9,2884,0.5113192818110851,0.35101822079314043,0.9410919540229885,-0.9195047
hackernews,9,1754,0.506790842064416,0.3471557682083998,0.9382183908045977,0.9689232
uspto,11,363,0.5059654248843437,0.34054408390691576,0.9839015151515151,0.7897997
uspto,11,439,0.5046136101499423,0.36276948590381425,0.8285984848484849,-1.2852557
arxiv,11,1070,0.48146687697160884,0.38553836438269656,0.6409448818897637,0.57017374
uspto,11,1888,0.47838321821437707,0.3277252015422362,0.8854166666666666,-0.9045085
arxiv,11,1888,0.47643979057591623,0.3864750081672656,0.620997375328084,0.65397733
stack_exchange,11,565,0.46596701649175415,0.3150851581508516,0.8941311852704258,-0.7661848
hackernews,11,2135,0.46007738304607804,0.3046110852352119,0.9396551724137931,0.8827815
