label,layer,neuron,f1,precision,recall,mean_dif
German,5,2649,1.0,1.0,1.0,1.4336652
Spanish,8,859,1.0,1.0,1.0,2.3116937
Portuguese,8,691,1.0,1.0,1.0,2.302114
Portuguese,10,773,1.0,1.0,1.0,1.4772805
French,6,543,1.0,1.0,1.0,1.4926977
French,8,1381,1.0,1.0,1.0,2.6645358
English,11,2374,1.0,1.0,1.0,-2.1731508
German,8,2994,1.0,1.0,1.0,2.6311102
Spanish,6,1603,1.0,1.0,1.0,1.1680607
Dutch,8,1002,1.0,1.0,1.0,1.5191914
Dutch,8,1191,1.0,1.0,1.0,1.0603783
Italian,9,742,1.0,1.0,1.0,3.0925496
Italian,6,2234,1.0,1.0,1.0,1.6670274
Italian,8,2485,1.0,1.0,1.0,0.9138197
Italian,8,1897,1.0,1.0,1.0,0.8980481
Dutch,7,1594,0.9998405866411606,1.0,0.999681224099458,1.8443788
Portuguese,5,144,0.9998392024441228,1.0,0.9996784565916399,0.91129196
Portuguese,10,830,0.9998392024441228,1.0,0.9996784565916399,1.1314125
Swedish,8,1063,0.9998385273696109,1.0,0.9996771068776235,2.2731376
Swedish,8,2689,0.9998385273696109,1.0,0.9996771068776235,1.5240753
Swedish,8,8,0.9998385273696109,1.0,0.9996771068776235,1.4819759
Swedish,7,1156,0.9998385273696109,1.0,0.9996771068776235,1.3111057
Italian,10,493,0.9996829422954978,1.0,0.9993660855784469,0.7945491
English,11,2918,0.9996764801035264,0.999353169469599,1.0,2.4965072
English,7,2059,0.999190807574041,0.9993525412754937,0.9990291262135922,-2.1098962
English,11,478,0.9988685954420559,0.9977397481433645,1.0,3.2096226
English,7,2135,0.9985458070770722,0.9970958373668926,1.0,2.4836106
English,7,1341,0.9979001776772733,0.9961302805546598,0.9996763754045307,2.7668495
English,7,2734,0.9977382875605815,0.9961290322580645,0.9993527508090615,2.2110448
German,11,2911,0.9969747899159663,0.9943010392222594,0.9996629592180654,-0.87291884
French,11,2599,0.9907936507936508,0.983301827347196,0.9984005118362124,0.6967266
English,7,1743,0.9907021481243988,0.9815756035578145,1.0,-2.521166
Spanish,10,1548,0.9905675459632294,0.9825562955915002,0.9987105093488072,0.7631372
French,11,2445,0.9900205924283225,0.9805459679949796,0.9996801023672425,0.7434354
English,11,2014,0.9814079135547434,0.9640961598501405,0.9993527508090615,2.3365822
German,10,1129,0.970077698793189,0.9519792342634653,0.9888776541961577,-1.1942091
Dutch,9,1662,0.9650822950315336,0.9325208085612366,1.0,0.99880975
English,11,205,0.8988263259545387,0.8308157099697885,0.9789644012944984,2.8970776
French,11,2465,0.8987012987012987,0.8186119873817035,0.9961612284069098,-0.62964016
Dutch,11,2706,0.7975767153957593,0.6795332136445242,0.9652534268409309,-0.79633963
Dutch,9,509,0.7302994011976047,0.5848839439861884,0.9719477207523112,-0.9811894
Portuguese,10,1188,0.7290871011457435,0.590972638306371,0.9514469453376205,0.87571025
Swedish,6,1838,0.7042894527249972,0.5437456078706957,0.999354213755247,1.4515607
Swedish,11,224,0.6756431308155446,0.5110963895329579,0.9964481756538586,-0.8153765
French,10,1252,0.6693073546729471,0.5029766693483507,1.0,-1.5702355
French,11,1682,0.6679520137103685,0.5020933977455717,0.9974408189379399,0.75220317
Portuguese,10,1323,0.6669528818289149,0.5005638794908974,0.9990353697749196,1.0480107
Spanish,10,1323,0.6660221291223547,0.49943612050910263,0.9993552546744036,1.0480705
German,6,1838,0.65625,0.4888558692421991,0.9979777553083923,1.4000874
German,7,1594,0.6541726380773895,0.4860747051114024,1.0,1.0809805
