label,layer,neuron,f1,precision,recall,mean_dif
Portuguese,23,3025,0.5327111190882169,0.3694759118635628,0.9543408360128617,0.69944465
French,23,2756,0.5157825308583812,0.3655669827701349,0.8755598208573256,-0.6163173
Italian,23,1829,0.4088618731504439,0.2734274711168164,0.8101426307448495,0.69936514
German,21,4004,0.3940032414910859,0.2593619972260749,0.8193461408830468,-0.7709565
Spanish,22,1141,0.3905191873589165,0.2603741130939583,0.7807865892972276,0.59420943
French,23,1829,0.38177394381773944,0.24805978729519976,0.8282149712092131,-0.8330715
Dutch,21,3921,0.3677912452713657,0.24266503667481662,0.7593241950908511,-1.2013946
German,23,1332,0.35862469171623385,0.2284869211572234,0.833164812942366,1.4257059
Italian,23,1332,0.3568054959209961,0.23042795082724835,0.7901743264659271,1.4134254
Swedish,21,3921,0.3231997758475763,0.20636908489131406,0.7449144333225702,-1.0794687
Spanish,23,1332,0.30352748154224773,0.19743863393810032,0.6560283687943262,-0.6618595
Swedish,23,1332,0.29584057777183365,0.1865564645357173,0.7142395866968033,1.0849142
Spanish,14,1399,0.2847958855673417,0.1660508701472557,0.9996776273372018,-0.5652853
German,21,3921,0.27139379564321825,0.16653899187988355,0.7327266599258511,-0.8860097
