label,layer,neuron,f1,precision,recall,mean_dif
Italian,5,1134,1.0,1.0,1.0,1.8058875
German,4,482,1.0,1.0,1.0,0.70360094
Dutch,4,275,1.0,1.0,1.0,0.8969905
Dutch,3,1787,1.0,1.0,1.0,1.0914327
Portuguese,5,1782,1.0,1.0,1.0,1.080224
Spanish,5,730,1.0,1.0,1.0,1.018535
English,5,395,1.0,1.0,1.0,-2.7838657
English,5,166,1.0,1.0,1.0,1.097003
French,5,112,0.9998400255959047,1.0,0.9996801023672425,0.6553416
French,4,1080,0.9998400255959047,1.0,0.9996801023672425,2.555745
French,5,1293,0.9998400255959047,1.0,0.9996801023672425,0.5931112
Portuguese,3,963,0.9998392024441228,1.0,0.9996784565916399,1.4313414
Swedish,4,755,0.9998385273696109,1.0,0.9996771068776235,0.85438806
French,5,455,0.9995203836930455,0.9990412272291467,1.0,0.6341882
English,5,908,0.9995143273433705,1.0,0.9990291262135922,1.3387328
English,5,285,0.9995143273433705,1.0,0.9990291262135922,1.0026392
Italian,4,1822,0.9993656834760545,1.0,0.9987321711568938,0.58888227
English,3,862,0.9987071751777633,0.9974176888315042,1.0,-1.0160452
English,5,73,0.9982197766628904,0.9983813531887342,0.9980582524271845,1.0674721
German,5,1039,0.997143337254243,0.9943029490616622,1.0,-0.8701959
Spanish,3,1485,0.9923126201153107,0.9859961807765755,0.9987105093488072,1.3410864
Dutch,5,98,0.9722794234120071,0.9663098236775819,0.9783232387631495,-2.1910071
English,4,896,0.9455613980822766,0.9055094786729858,0.9893203883495145,-1.0890415
Italian,5,404,0.9421139678243874,0.8961670480549199,0.993026941362916,-0.90674126
English,5,348,0.9346395224246136,0.8867266918385129,0.9880258899676375,2.3953695
Portuguese,4,1119,0.9083991805677496,0.8335123523093448,0.9980707395498393,0.6598181
French,5,5,0.8967203682393556,0.8146889702038683,0.9971209213051824,0.5954958
English,5,297,0.8768529076396807,0.7834946510443199,0.9954692556634305,1.8513842
Italian,5,138,0.8646204439572485,0.7615254646391504,1.0,0.6198039
French,5,1901,0.8051948051948052,0.6777437691298644,0.9916826615483045,0.5971028
French,5,486,0.7548082738599251,0.6068858198794009,0.9980806142034548,0.7406374
Spanish,5,98,0.7055178167083781,0.5596521081489885,0.9542230818826564,1.4035559
Spanish,5,1278,0.6978943812633711,0.5362519467035819,0.9990328820116054,0.93279374
German,5,407,0.6934758838537238,0.5421732522796353,0.9619143916413886,-0.94830847
Italian,5,2038,0.6864111498257839,0.522806435561453,0.9990491283676703,0.61887586
Dutch,4,326,0.6819664998912335,0.5175829618623081,0.9993624481989162,0.7361519
Swedish,5,1336,0.6755458515283843,0.5103084281708725,0.9990313206328705,0.82771385
Portuguese,5,639,0.6671677045308139,0.5008059316569955,0.9990353697749196,0.6285962
Portuguese,4,1903,0.6666666666666667,0.500402900886382,0.9983922829581994,1.9212373
Spanish,4,1903,0.6661652519608896,0.49959709911361805,0.9993552546744036,1.9213763
German,5,1516,0.6657365422625275,0.5081647142350018,0.9649477586788001,-0.848981
Spanish,5,639,0.6655920911240061,0.4991940683430045,0.998388136686009,0.6268457
Portuguese,5,1278,0.6647361647361647,0.4987125844866431,0.9964630225080385,0.89324254
Swedish,3,1485,0.6644403748788107,0.498545101842871,0.9958023894091056,0.7821017
German,5,1336,0.656921373200443,0.4891967672769256,0.9996629592180654,0.8230824
German,4,326,0.6539479488310542,0.4859859039501721,0.9993259184361307,0.7123579
Portuguese,4,227,0.6482239681310169,0.4941791800236207,0.9418006430868168,-0.73174334
Swedish,5,1516,0.6381043055114778,0.47451227186910006,0.973845657087504,-0.70184565
French,4,975,0.6341573033707866,0.48874263941808105,0.9027511196417146,0.7160289
Dutch,5,297,0.584,0.4305156509904733,0.9075549888428435,-1.4610205
Swedish,5,348,0.5805908947534434,0.4304646086685376,0.8915079108814983,-1.4715986
Dutch,4,1447,0.5485257985257986,0.4040114613180516,0.8540006375518011,-0.8046241
Spanish,5,297,0.5313133262568754,0.3791488775650737,0.8874919406834301,1.2261925
German,5,250,0.5115203273730095,0.3474740149867053,0.9689922480620154,-0.8533664
Dutch,3,669,0.5082326222726904,0.34083986074847694,0.9987248963978324,1.5446949
Dutch,5,250,0.5064018384766907,0.3409970155852769,0.9834236531718202,-0.8458684
Swedish,3,669,0.5032142566522906,0.3363794604003481,0.9983855343881175,1.5406015
Swedish,5,297,0.5003636363636365,0.348222194103505,0.8886018727801098,-1.1712494
Portuguese,5,250,0.49053329125907225,0.3250052268450763,0.9996784565916399,0.8223419
Spanish,5,250,0.4894221660877802,0.3240643947313402,0.9993552546744036,0.8220117
German,3,669,0.4880736963316335,0.32281579806332283,1.0,1.5339344
French,3,669,0.48644916278266875,0.33309692671394797,0.9014715291106846,-0.933596
Italian,5,250,0.4819089207735495,0.3195780328886131,0.9793977812995246,0.818657
Swedish,4,1167,0.4763482422234493,0.3331188055090745,0.8356474007103649,-0.66337013
Swedish,5,98,0.4710375556970083,0.3278481012658228,0.8362931869551179,0.84891987
Italian,5,348,0.4079242861726019,0.2730591646086116,0.8060221870047544,-0.9269581
Dutch,3,1204,0.406742301458671,0.2552897135416667,1.0,-1.2026719
Swedish,3,1204,0.40503837827199374,0.2541577474065536,0.9967710687762351,-1.2158082
Italian,3,1204,0.4032742853488521,0.25260374939913477,0.9993660855784469,1.1924174
English,3,1204,0.4014826375341397,0.251220703125,0.9990291262135922,-1.198057
French,3,1204,0.40005125576627365,0.2501201730491908,0.9987204094689699,1.1906836
Portuguese,3,1204,0.3986659825551565,0.24899855792340972,0.9993569131832798,1.1900706
German,3,1204,0.39775910364145656,0.24944301628106255,0.9811257162116616,-1.2146649
Spanish,3,1204,0.3977156057494866,0.2482775196282647,0.9990328820116054,1.1894469
Italian,3,669,0.39383125159316856,0.24647044747547261,0.9793977812995246,-0.9260188
Dutch,5,348,0.3843876597070738,0.2543561191875451,0.7864201466369143,-0.86422443
Portuguese,3,669,0.33265568157500536,0.19952509305609037,0.9996784565916399,-0.8999186
Spanish,3,669,0.33203104094193203,0.19906308156324198,1.0,-0.88363594
Italian,4,1903,0.3302731367964874,0.20136281462939787,0.9179080824088748,-0.672115
German,4,1903,0.32721238938053093,0.19572553430821146,0.9969666329625885,-0.6591254
